Date,Open,High,Low,Close,Adj_Close,Volume,Stock,Daily_Return,MA30
2014-09-17,465.86,468.17,452.42,457.33,457.33,21056800, AAPL ,-1.8310221955093866,
2014-09-18,456.86,456.86,413.1,424.44,424.44,34483200, AAPL ,-7.096265814472709,
2014-09-19,424.1,427.83,384.53,394.8,394.8,37919700, AAPL ,-6.90874793680736,
2014-09-20,394.67,423.3,389.88,408.9,408.9,36863600, AAPL ,3.605543872095665,
2014-09-21,408.08,412.43,393.18,398.82,398.82,26580100, AAPL ,-2.2691629092334815,
2014-09-22,399.1,406.92,397.13,402.15,402.15,24127600, AAPL ,0.7642194938611763,
2014-09-23,402.09,441.56,396.2,435.79,435.79,45099500, AAPL ,8.381208187221779,
2014-09-24,435.75,436.11,421.13,423.2,423.2,30627700, AAPL ,-2.880091795754449,
2014-09-25,423.16,423.52,409.47,411.57,411.57,26814400, AAPL ,-2.7389167218073616,
2014-09-26,411.43,414.94,400.01,404.42,404.42,21460800, AAPL ,-1.703813528425246,
2014-09-27,403.56,406.62,397.37,399.52,399.52,15029300, AAPL ,-1.00109029636238,
2014-09-28,399.47,401.02,374.33,377.18,377.18,23613300, AAPL ,-5.579893358700282,
2014-09-29,376.93,385.21,372.24,375.47,375.47,32497700, AAPL ,-0.38733982437056735,
2014-09-30,376.09,390.98,373.44,386.94,386.94,34707300, AAPL ,2.88494775186791,
2014-10-01,387.43,391.38,380.78,383.61,383.61,26229400, AAPL ,-0.9859845649536674,
2014-10-02,383.99,385.5,372.95,375.07,375.07,21777700, AAPL ,-2.3229771608635685,
2014-10-03,375.18,377.7,357.86,359.51,359.51,30901200, AAPL ,-4.176661868969565,
2014-10-04,359.89,364.49,325.89,328.87,328.87,47236500, AAPL ,-8.619300341771092,
2014-10-05,328.92,341.8,289.3,320.51,320.51,83308096, AAPL ,-2.5568527301471558,
2014-10-06,320.39,345.13,302.56,330.08,330.08,79011800, AAPL ,3.0244389650113916,
2014-10-07,330.58,339.25,320.48,336.19,336.19,49199900, AAPL ,1.697017363421869,
2014-10-08,336.12,354.36,327.19,352.94,352.94,54736300, AAPL ,5.004165179102699,
2014-10-09,352.75,382.73,347.69,365.03,365.03,83641104, AAPL ,3.4812189936215368,
2014-10-10,364.69,375.07,352.96,361.56,361.56,43665700, AAPL ,-0.858263182428911,
2014-10-11,361.36,367.19,355.95,362.3,362.3,13345200, AAPL ,0.2601284038078364,
2014-10-12,362.61,379.43,356.14,378.55,378.55,17552800, AAPL ,4.395907448774164,
2014-10-13,377.92,397.23,368.9,390.41,390.41,35221400, AAPL ,3.3049322607959377,
2014-10-14,391.69,411.7,391.32,400.87,400.87,38491500, AAPL ,2.343690163139219,
2014-10-15,400.95,402.23,388.77,394.77,394.77,25267100, AAPL ,-1.5413393191170985,
2014-10-16,394.52,398.81,373.07,382.56,382.56,26990000, AAPL ,-3.031531988238868,384.112
2014-10-17,382.76,385.48,375.39,383.76,383.76,13600700, AAPL ,0.2612603197826314,381.6596666666667
2014-10-18,383.98,395.16,378.97,391.44,391.44,11416800, AAPL ,1.9428095213292302,380.55966666666666
2014-10-19,391.25,393.94,386.46,389.55,389.55,5914570, AAPL ,-0.43450479233226547,380.3846666666667
2014-10-20,389.23,390.08,378.25,382.85,382.85,16419000, AAPL ,-1.6391336741772204,379.5163333333333
2014-10-21,382.42,392.65,380.83,386.48,386.48,14188900, AAPL ,1.0616599550232733,379.10499999999996
2014-10-22,386.12,388.58,382.25,383.16,383.16,11641300, AAPL ,-0.7666010566663161,378.472
2014-10-23,382.96,385.05,356.45,358.42,358.42,26456900, AAPL ,-6.4079799456862245,375.89300000000003
2014-10-24,358.59,364.35,353.3,358.35,358.35,15585700, AAPL ,-0.06692880448421659,373.73133333333334
2014-10-25,358.61,359.86,342.88,347.27,347.27,18127500, AAPL ,-3.1622096427874378,371.58799999999997
2014-10-26,347.49,359.22,343.93,354.7,354.7,11272500, AAPL ,2.074879852657624,369.9306666666667
2014-10-27,354.78,358.63,349.81,352.99,352.99,13033000, AAPL ,-0.5045380235638885,368.37966666666665
2014-10-28,353.21,359.98,352.68,357.62,357.62,7845880, AAPL ,1.2485490218283812,367.72766666666666
2014-10-29,357.09,357.83,335.34,335.59,335.59,18192700, AAPL ,-6.020891091881599,366.39833333333337
2014-10-30,335.71,350.91,335.07,345.3,345.3,30177900, AAPL ,2.8566322123261245,365.01033333333334
2014-10-31,345.01,348.05,337.14,338.32,338.32,12545400, AAPL ,-1.939074229732471,363.5006666666667
2014-11-01,338.65,340.53,321.05,325.75,325.75,16677200, AAPL ,-3.8092425808356642,361.8566666666667
2014-11-02,326.08,329.05,320.63,325.89,325.89,8603620, AAPL ,-0.058267909715406574,360.736
2014-11-03,325.57,334.0,325.48,327.55,327.55,12948500, AAPL ,0.6081641428878638,360.692
2014-11-04,327.16,331.77,325.08,330.49,330.49,15655500, AAPL ,1.017850592982022,361.02466666666663
2014-11-05,330.68,343.37,330.68,339.49,339.49,19817200, AAPL ,2.6642070884238542,361.3383333333333
2014-11-06,339.46,352.97,338.42,349.29,349.29,18797000, AAPL ,2.8957756436693693,361.775
2014-11-07,349.82,352.73,341.78,342.42,342.42,16834200, AAPL ,-2.115373620719221,361.4243333333334
2014-11-08,342.15,347.03,342.15,345.49,345.49,8535470, AAPL ,0.9761800379950407,360.773
2014-11-09,345.38,363.63,344.26,363.26,363.26,24205600, AAPL ,5.176906595633794,360.8296666666667
2014-11-10,362.27,374.82,357.56,366.92,366.92,30450100, AAPL ,1.2835730256438662,360.9836666666667
2014-11-11,365.86,371.31,363.73,367.7,367.7,15838900, AAPL ,0.5029246159733163,360.622
2014-11-12,367.98,429.72,367.98,423.56,423.56,45783200, AAPL ,15.104081743573014,361.727
2014-11-13,427.27,457.09,401.12,420.73,420.73,58945000, AAPL ,-1.5306480679663828,362.389
2014-11-14,418.42,419.25,384.79,397.82,397.82,29589200, AAPL ,-4.92328282586875,362.4906666666667
2014-11-15,399.65,405.53,371.01,376.13,376.13,15727500, AAPL ,-5.885149505817586,362.2763333333333
2014-11-16,374.73,390.8,374.6,387.88,387.88,11905600, AAPL ,3.5091932858324597,362.41366666666664
2014-11-17,388.35,410.2,377.5,387.41,387.41,41518800, AAPL ,-0.24204969743787758,362.27933333333334
2014-11-18,387.79,392.4,371.12,375.2,375.2,32222500, AAPL ,-3.2466025426132785,361.801
2014-11-19,373.9,386.48,373.9,380.55,380.55,18931800, AAPL ,1.778550414549354,361.7243333333334
2014-11-20,380.31,382.02,356.78,357.84,357.84,25233200, AAPL ,-5.908337934842636,360.7696666666667
2014-11-21,357.88,357.88,344.11,350.85,350.85,29850100, AAPL ,-1.9643455907007858,359.69266666666664
2014-11-22,351.6,364.84,350.88,352.92,352.92,15273000, AAPL ,0.3754266211604076,359.5093333333333
2014-11-23,353.17,370.85,353.17,367.57,367.57,15151600, AAPL ,4.077356513860174,359.81666666666666
2014-11-24,366.95,387.21,366.67,376.9,376.9,30930100, AAPL ,2.7115410818912626,360.8043333333334
2014-11-25,376.89,394.7,374.78,375.35,375.35,25442200, AAPL ,-0.4086072859454917,361.4926666666667
2014-11-26,376.02,377.7,365.82,368.37,368.37,18601700, AAPL ,-2.034466251795111,362.00533333333334
2014-11-27,370.5,373.99,368.28,369.67,369.67,8748030, AAPL ,-0.22402159244264078,362.407
2014-11-28,369.37,382.84,358.45,376.45,376.45,22946500, AAPL ,1.9167772152584088,363.769
2014-11-29,376.15,387.6,372.14,375.49,375.49,15375600, AAPL ,-0.17546191678850676,364.7753333333333
2014-11-30,375.51,382.53,373.31,378.05,378.05,9194440, AAPL ,0.6764134110942507,366.0996666666667
2014-12-01,378.25,383.66,376.67,379.24,379.24,11763000, AAPL ,0.26173165895571954,367.88266666666664
2014-12-02,379.25,384.04,377.86,381.32,381.32,12364100, AAPL ,0.5458141067897148,369.73033333333336
2014-12-03,381.72,383.03,374.35,375.01,375.01,13340100, AAPL ,-1.757832966572366,371.3123333333333
2014-12-04,375.72,378.65,367.76,369.6,369.6,14529600, AAPL ,-1.6288725646758233,372.616
2014-12-05,369.44,379.19,365.76,376.85,376.85,15181800, AAPL ,2.005738414898231,373.86133333333333
2014-12-06,376.76,378.45,370.95,374.79,374.79,7009320, AAPL ,-0.522879286548458,374.71133333333336
2014-12-07,374.84,376.29,373.27,375.1,375.1,6491650, AAPL ,0.06936292818270404,375.80066666666664
2014-12-08,374.96,376.03,361.89,361.91,361.91,18898700, AAPL ,-3.4803712395988784,376.34799999999996
2014-12-09,361.89,363.07,344.95,352.22,352.22,32915500, AAPL ,-2.672082677056553,375.97999999999996
2014-12-10,352.2,352.38,346.36,346.36,346.36,16427700, AAPL ,-1.6581487791027756,375.29466666666667
2014-12-11,344.34,361.36,338.76,350.51,350.51,32431300, AAPL ,1.7918336527850427,374.72166666666664
2014-12-12,350.83,352.98,349.29,352.54,352.54,16989800, AAPL ,0.48741555739247966,372.3543333333334
2014-12-13,352.38,352.38,346.59,347.38,347.38,11675900, AAPL ,-1.4189227538452807,369.9093333333333
2014-12-14,346.73,353.32,345.42,351.63,351.63,12415200, AAPL ,1.4132033570789886,368.36966666666666
2014-12-15,351.36,351.82,344.93,345.35,345.35,17264200, AAPL ,-1.7104963570127478,367.3436666666667
2014-12-16,345.67,345.86,327.06,327.06,327.06,30864900, AAPL ,-5.383747504845666,365.3163333333333
2014-12-17,326.86,333.95,315.15,319.78,319.78,37567900, AAPL ,-2.166064981949471,363.062
2014-12-18,319.79,323.71,304.23,311.4,311.4,39173000, AAPL ,-2.6235967353575917,360.9353333333334
2014-12-19,311.18,318.53,306.77,317.84,317.84,23823100, AAPL ,2.140240375345449,358.845
2014-12-20,317.62,330.33,316.04,329.96,329.96,20856700, AAPL ,3.8851457716768385,357.91566666666665
2014-12-21,329.54,329.63,318.9,320.84,320.84,15207600, AAPL ,-2.640043697275003,356.9153333333333
2014-12-22,321.07,334.12,320.42,331.89,331.89,22315100, AAPL ,3.3699816239449323,356.21433333333334
2014-12-23,332.02,336.29,329.6,334.57,334.57,16574200, AAPL ,0.7680260225287668,355.1143333333333
2014-12-24,334.39,334.74,321.36,322.53,322.53,15092300, AAPL ,-3.5467567810042206,353.30199999999996
2014-12-25,322.29,322.67,316.96,319.01,319.01,9883640, AAPL ,-1.0177169629836573,351.424
2014-12-26,319.15,331.42,316.63,327.92,327.92,16410500, AAPL ,2.7479241735861004,350.0756666666667
2014-12-27,327.58,328.91,312.63,315.86,315.86,15185200, AAPL ,-3.5777519995115608,348.28200000000004
2014-12-28,316.16,320.03,311.08,317.24,317.24,11676600, AAPL ,0.34159919028339575,346.30833333333334
2014-12-29,317.7,320.27,312.31,312.67,312.67,12302500, AAPL ,-1.5832546427447192,344.21433333333334
2014-12-30,312.72,314.81,309.37,310.74,310.74,12528300, AAPL ,-0.6331542594013871,341.9706666666667
2014-12-31,310.91,320.19,310.21,320.19,320.19,13942900, AAPL ,2.9847865941912364,340.0023333333334
2015-01-01,320.43,320.43,314.0,314.25,314.25,8036550, AAPL ,-1.9286583653216012,337.76666666666665
2015-01-02,314.08,315.84,313.57,315.03,315.03,7860650, AAPL ,0.30247070809984355,335.76733333333334
2015-01-03,314.85,315.15,281.08,281.08,281.08,33054400, AAPL ,-10.72574241702399,332.81666666666666
2015-01-04,281.15,287.23,257.61,264.2,264.2,55629100, AAPL ,-6.02881024364218,329.06166666666667
2015-01-05,265.08,278.34,265.08,274.47,274.47,43962800, AAPL ,3.5423268447261367,325.7176666666666
2015-01-06,274.61,287.55,272.7,286.19,286.19,23245700, AAPL ,4.216889406795085,322.754
2015-01-07,286.08,298.75,283.08,294.34,294.34,24866800, AAPL ,2.887304250559281,320.50166666666667
2015-01-08,294.14,294.14,282.17,283.35,283.35,19982500, AAPL ,-3.6683212075882112,318.206
2015-01-09,282.38,291.11,280.53,290.41,290.41,18718600, AAPL ,2.843685813442889,316.341
2015-01-10,287.3,288.13,273.97,274.8,274.8,15264300, AAPL ,-4.350852767142359,313.81733333333335
2015-01-11,274.61,279.64,265.04,265.66,265.66,18200800, AAPL ,-3.259167546702592,310.92133333333334
2015-01-12,266.15,272.2,265.2,267.8,267.8,18880300, AAPL ,0.6199511553635297,308.2686666666667
2015-01-13,267.39,268.28,219.91,225.86,225.86,72843904, AAPL ,-15.531620479449485,304.0763333333333
2015-01-14,223.89,223.89,171.51,178.1,178.1,97638704, AAPL ,-20.452007682344007,298.5013333333333
2015-01-15,176.9,229.07,176.9,209.84,209.84,81773504, AAPL ,18.620689655172413,294.594
2015-01-16,209.07,221.59,199.77,208.1,208.1,38421000, AAPL ,-0.4639594394222026,290.8713333333333
2015-01-17,207.83,211.73,194.88,199.26,199.26,23469700, AAPL ,-4.123562527065401,287.1333333333333
2015-01-18,200.05,218.7,194.51,210.34,210.34,30085100, AAPL ,5.143714071482125,283.55
2015-01-19,211.47,216.73,207.32,214.86,214.86,18658300, AAPL ,1.6030642644346786,279.7133333333333
2015-01-20,212.91,215.24,205.15,211.32,211.32,24051100, AAPL ,-0.7467944201775414,276.0626666666667
2015-01-21,211.38,227.79,211.21,226.9,226.9,29924600, AAPL ,7.342227268426535,272.563
2015-01-22,227.32,237.02,226.43,233.41,233.41,33544600, AAPL ,2.6790427591061072,269.19100000000003
2015-01-23,233.52,234.85,225.2,232.88,232.88,24621700, AAPL ,-0.27406646111682714,266.2026666666667
2015-01-24,232.7,248.21,230.02,247.85,247.85,24782500, AAPL ,6.510528577567687,263.8306666666667
2015-01-25,247.35,255.07,243.89,253.72,253.72,33582700, AAPL ,2.575298160501316,261.3573333333333
2015-01-26,254.08,309.38,254.08,273.47,273.47,106794000, AAPL ,7.631454659949628,259.9443333333333
2015-01-27,273.17,275.48,250.65,263.48,263.48,44399000, AAPL ,-3.547241644397261,258.15233333333333
2015-01-28,263.35,266.54,227.05,233.91,233.91,44352200, AAPL ,-11.179039301310052,255.527
2015-01-29,233.35,238.71,220.71,233.51,233.51,32213400, AAPL ,0.06856653096207267,252.95266666666666
2015-01-30,232.77,242.85,225.84,226.43,226.43,26605200, AAPL ,-2.7237186922713423,249.82733333333334
2015-01-31,226.44,233.5,216.31,217.46,217.46,23348200, AAPL ,-3.965730436318667,246.60100000000003
2015-02-01,216.87,231.57,212.01,226.97,226.97,29128500, AAPL ,4.657167888596852,243.66566666666668
2015-02-02,226.49,242.18,222.66,238.23,238.23,30612100, AAPL ,5.1834518080268355,242.23733333333334
2015-02-03,237.45,245.96,224.48,227.27,227.27,40783700, AAPL ,-4.287218361760361,241.00633333333332
2015-02-04,227.51,230.06,221.11,226.85,226.85,26594300, AAPL ,-0.29009713858731334,239.419
2015-02-05,227.66,239.4,214.73,217.11,217.11,22516400, AAPL ,-4.634103487657025,237.11633333333333
2015-02-06,216.92,230.51,216.23,222.27,222.27,24435300, AAPL ,2.466347040383562,234.714
2015-02-07,222.63,230.3,222.61,227.75,227.75,21604200, AAPL ,2.299779903876389,232.86066666666667
2015-02-08,227.69,229.44,221.08,223.41,223.41,17145200, AAPL ,-1.8797487812376483,230.62733333333333
2015-02-09,223.39,223.98,217.02,220.11,220.11,27791300, AAPL ,-1.4682841667039586,228.80433333333335
2015-02-10,220.28,221.81,215.33,219.84,219.84,21115100, AAPL ,-0.19974577810059818,227.277
2015-02-11,219.73,223.41,218.07,219.18,219.18,17201900, AAPL ,-0.2503071951940941,225.65633333333335
2015-02-12,219.21,222.2,217.61,221.76,221.76,15206200, AAPL ,1.1632680990830633,225.51966666666667
2015-02-13,221.97,240.26,221.26,235.43,235.43,42744400, AAPL ,6.0638825066450455,227.43066666666667
2015-02-14,235.53,259.81,235.53,257.32,257.32,49732500, AAPL ,9.251475395915591,229.01333333333335
2015-02-15,257.51,265.61,227.68,234.82,234.82,56552400, AAPL ,-8.811308298706846,229.904
2015-02-16,234.82,239.52,229.02,233.84,233.84,28153700, AAPL ,-0.41734094199812183,231.0566666666667
2015-02-17,233.42,245.77,232.31,243.61,243.61,27363100, AAPL ,4.365521377773981,232.16566666666668
2015-02-18,243.78,244.25,232.34,236.33,236.33,25200800, AAPL ,-3.05603412913282,232.88133333333332
2015-02-19,236.41,242.67,235.59,240.28,240.28,18270500, AAPL ,1.6369865910917496,233.8466666666667
2015-02-20,240.25,247.1,239.3,243.78,243.78,23876700, AAPL ,1.4693028095733616,234.40933333333336
2015-02-21,243.75,255.32,243.18,244.53,244.53,12284200, AAPL ,0.32000000000000045,234.78
2015-02-22,244.54,246.39,233.85,235.98,235.98,19527000, AAPL ,-3.5004498241596473,234.88333333333335
2015-02-23,235.99,240.11,232.42,238.89,238.89,16400000, AAPL ,1.2288656298995624,234.58466666666666
2015-02-24,239.0,239.9,236.4,238.74,238.74,14200400, AAPL ,-0.10878661087865729,234.08533333333332
2015-02-25,238.89,239.34,235.53,237.47,237.47,11496200, AAPL ,-0.5944158399263207,232.88533333333334
2015-02-26,237.34,237.71,234.26,236.43,236.43,13619400, AAPL ,-0.38341619617426337,231.98366666666666
2015-02-27,236.44,256.65,236.44,253.83,253.83,44013900, AAPL ,7.354931483674511,232.64766666666668
2015-02-28,253.52,254.69,249.48,254.26,254.26,13949300, AAPL ,0.29189018617859763,233.33933333333334
2015-03-01,254.28,261.66,245.93,260.2,260.2,25213700, AAPL ,2.328142205442814,234.465
2015-03-02,260.36,276.3,258.31,275.67,275.67,40465700, AAPL ,5.88031955753572,236.40533333333332
2015-03-03,275.05,285.8,268.16,281.7,281.7,50461300, AAPL ,2.417742228685685,238.22966666666667
2015-03-04,281.99,284.23,268.13,273.09,273.09,41383000, AAPL ,-3.1561402886627308,239.39166666666668
2015-03-05,272.74,281.67,264.77,276.18,276.18,41302400, AAPL ,1.2612744738578858,241.022
2015-03-06,275.6,277.61,270.02,272.72,272.72,28918900, AAPL ,-1.044992743105949,242.551
2015-03-07,272.29,277.85,270.13,276.26,276.26,17825900, AAPL ,1.458004333614885,244.52266666666668
2015-03-08,276.43,277.86,272.57,274.35,274.35,22067900, AAPL ,-0.752450891726652,246.25866666666667
2015-03-09,274.81,292.7,273.89,289.61,289.61,59178200, AAPL ,5.385539099741644,248.32066666666665
2015-03-10,289.86,300.04,289.74,291.76,291.76,67770800, AAPL ,0.6554888566894285,250.59900000000002
2015-03-11,291.52,297.39,290.51,296.38,296.38,33963900, AAPL ,1.6671240395170193,253.14133333333336
2015-03-12,296.13,297.09,292.41,294.35,294.35,32585200, AAPL ,-0.6010873602809484,255.625
2015-03-13,294.12,294.5,285.34,285.34,285.34,31421500, AAPL ,-2.9851761185910615,257.83033333333333
2015-03-14,284.44,286.34,280.98,281.89,281.89,22612300, AAPL ,-0.896498382787235,259.8346666666667
